No,Japanese,Romaji,Meaning
501,店,mise,shop
502,お店,omise,"shop, polite"
503,スーパー,suupaa,supermarket
504,コンビニ,konbini,convenience store
505,薬局,yakkyoku,pharmacy
506,ドラッグストア,doraggu sutoa,drugstore
507,デパート,depaato,department store
508,百円ショップ,hyakuen shoppu,100-yen shop
509,レジ,reji,cashier
510,店員,ten’in,shop staff
511,客,kyaku,customer
512,お客さん,okyakusan,"customer, polite"
513,商品,shouhin,product
514,値段,nedan,price
515,価格,kakaku,price
516,いくら,ikura,how much
517,円,en,yen
518,お金,okane,money
519,現金,genkin,cash
520,カード,kaado,card
521,クレジットカード,kurejitto kaado,credit card
522,デビットカード,debitto kaado,debit card
523,電子マネー,denshi manee,electronic money
524,PayPay,peipei,PayPay
525,支払い,shiharai,payment
526,お会計,okaikei,bill / checkout
527,領収書,ryoushuusho,"receipt, formal"
528,レシート,reshiito,receipt
529,袋,fukuro,bag
530,ポイントカード,pointo kaado,point card
531,割引,waribiki,discount
532,セール,seeru,sale
533,安い,yasui,cheap
534,高い,takai,expensive / tall
535,新しい,atarashii,new
536,古い,furui,old
537,大きい,ookii,big
538,小さい,chiisai,small
539,長い,nagai,long
540,短い,mijikai,short
541,重い,omoi,heavy
542,軽い,karui,light
543,便利,benri,convenient
544,不便,fuben,inconvenient
545,必要,hitsuyou,necessary
546,いらない,iranai,don’t need
547,欲しい,hoshii,want
548,これ,kore,this
549,それ,sore,that near you
550,あれ,are,that over there
551,どれ,dore,which one
552,この,kono,this + noun
553,その,sono,that + noun near you
554,あの,ano,that over there + noun
555,どの,dono,which + noun
556,一つ,hitotsu,one thing
557,二つ,futatsu,two things
558,三つ,mittsu,three things
559,四つ,yottsu,four things
560,五つ,itsutsu,five things
561,六つ,muttsu,six things
562,七つ,nanatsu,seven things
563,八つ,yattsu,eight things
564,九つ,kokonotsu,nine things
565,十,too,ten things
566,一個,ikko,one small item
567,二個,niko,two small items
568,一枚,ichimai,one flat item
569,二枚,nimai,two flat items
570,一本,ippon,one long item
571,二本,nihon,two long items
572,一袋,hitofukuro,one bag
573,一箱,hitohako,one box
574,サイズ,saizu,size
575,色,iro,color
576,黒,kuro,black
577,白,shiro,white
578,赤,aka,red
579,青,ao,blue
580,黄色,kiiro,yellow
581,緑,midori,green
582,茶色,chairo,brown
583,ピンク,pinku,pink
584,試着,shichaku,trying on clothes
585,返品,henpin,return item
586,交換,koukan,exchange
587,在庫,zaiko,stock
588,売り切れ,urikire,sold out
589,営業中,eigyouchuu,open for business
590,準備中,junbichuu,preparing / not open yet
591,閉店,heiten,shop closing
592,開店,kaiten,shop opening
593,入口,iriguchi,entrance
594,出口,deguchi,exit
595,試します,tameshimasu,try
596,探しています,sagashite imasu,looking for
597,見るだけです,miru dake desu,just looking
598,これください,kore kudasai,this please
599,袋はいりますか,fukuro wa irimasu ka,do you need a bag?
600,レシートはいりますか,reshiito wa irimasu ka,do you need a receipt?
